ID,Name,Name_en,ナンバリング,種族,別名,モンスター格付け,素材削減,咆哮レベル,風圧レベル,耐震,状態異常,補足,レア6部位,弱点部位1,弱点部位2,弱点部位3,弱点属性画像1,弱点属性1,弱点属性画像2,弱点属性2,弱点属性画像3,弱点属性3,弱点属性画像4,弱点属性4,弱点属性画像5,弱点属性5,弱点属性一覧,①攻撃属性画像,①攻撃属性,②攻撃属性画像,②攻撃属性,③攻撃属性画像,③攻撃属性,攻撃属性一覧,アイコン画像,画像,裂傷,漂流石,閃光,未公開,次元変異未登場,次元臨界未登場,登場日,初登場タイトル,クエスト,登場するシーズンs,出現エリア,武器一覧,CreatedAt,UpdatedAt
9vN2mR8p,トビカガチ亜種,ViperTobiKadachi,64,牙竜種,飛毒竜（ひどくりゅう）,亜種,,,,,,,尻尾,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/08/29/91c224e1878.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2071839586&Signature=GRb2faC6b4AXBlNajRNyoB2R3kk%3D,雷,,,,,,,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/06/11/92f081da6b3.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2064967187&Signature=nYAOSQNfH5Kp912jW2Q59Jxs3iM%3D,毒,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/01/30/0968a1c7228.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2053582200&Signature=Xz4qjde3Jih0aMyijf6QtLj2KOM%3D,麻痺,,,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons_i/viper_tobikadachi_i.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons/viper_tobikadachi.png,,,,FALSE,FALSE,FALSE,2026/3/19,モンスターハンター：ワールド,,,雪原,"双剣,太刀,ガンランス,チャージアックス,操虫棍,ヘビィボウガン,弓",,
kX5wT9qL,セルレギオス,Seregios,63,飛竜種,千刃竜（せんじんりゅう）,通常種,,,,,,,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/08/29/91c224e1878.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2071839586&Signature=GRb2faC6b4AXBlNajRNyoB2R3kk%3D,雷,,,,,,,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/10/17/0b7b86d0d90.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2076050065&Signature=dYL1SzXiB76o%2Bd6J0a1Rvu%2BIzY8%3D,無属性,,,,,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons_i/seregios_i.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons/seregios.png,,,,FALSE,FALSE,FALSE,2026/3/19,モンスターハンター4G,,,"森林,砂漠,沼地","片手剣,双剣,大剣,太刀,ハンマー,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ライトボウガン,ヘビィボウガン,弓",,
3bM7zH4j,オロミドロ,Almudron,62,海竜種,泥翁竜（でいおうりゅう）,通常種,,,,,,,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/108a2d269e9.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079434044&Signature=qqlonGVVSkj47Ns1gXesT5as6dc%3D,火,,,,,,,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/06/24/54424ca2ad9.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2066089235&Signature=PoVSJVcEQi9mBtvhms2cLvtQJ%2Fs%3D,水,,,,,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons_i/almudron_i.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons/almudron.png,,,,FALSE,FALSE,FALSE,2026/3/19,モンスターハンターライズ,,迫る千刃と春宵の跳躍,"砂漠,沼地","双剣,太刀,ハンマー,ガンランス,スラッシュアックス,ライトボウガン,弓",,
fR8tP2nB,ケマトリス,Quematrice,61,獣竜種,炎尾竜（えんびりゅう）,通常種,,,,,,,尻尾,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/ccd594af57f.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079434114&Signature=fpcYW8DlzMIH2YxIgdheQjvsIuw%3D,水,,,,,,,,,水属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/26/446ad655e47.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079516928&Signature=FiNPZe8uLcP91cAth2nCpZ1Xm1Y%3D,火,,,,,火,https://monchan-db.s3.ap-northeast-1.amazonaws.com/mons_i/quematrice_1.png,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/a7487a9774c.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079868348&Signature=kZnwFUQFJCpUfUUsy1QFVcVCc9c%3D,,,,FALSE,FALSE,FALSE,2025/12/11,モンスターハンターストーリーズ,"2025/12/11,,2026/01/19",要撃用意！次元臨界の咆哮,砂漠,"片手剣,双剣,大剣,太刀,ランス,ガンランス,弓",2025/11/25 21:23:40,2025/12/11 14:11:43
G6sD4mYw,ゴシャハギ,GossHarag,60,牙獣種,雪鬼獣（せっきじゅう）,通常種,,,,,,興奮すると全身が赤くなり、注意が必要。氷の刃を生成して、武器として利用できる。,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/108a2d269e9.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079434044&Signature=qqlonGVVSkj47Ns1gXesT5as6dc%3D,火,,,,,,,,,火属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/26/c3446753122.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079516915&Signature=6G1yUmf9gGzLsTO5I2c%2BQcxkoNM%3D,氷,,,,,氷,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/767e02a558a.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079436318&Signature=No2TSrz%2Fe17D%2F%2BysS2DXNoYanyQ%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/e4d23e77222.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079868530&Signature=jtJCy3f3o5W7xYUy7Houf3xupoI%3D,,,,FALSE,FALSE,FALSE,2025/12/11,モンスターハンターライズ,"2025/12/11,,2026/01/19,2026/01/26",要撃用意！次元臨界の咆哮,"沼地,雪原","片手剣,大剣,ハンマー,ランス,チャージアックス,操虫棍,ライトボウガン",2025/11/25 21:21:25,2025/12/16 17:11:30
jL1kX9vC,ライゼクス,Astalos,59,飛竜種,雷竜（らいりゅう）,通常種,,,,,,,尻尾,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/560354d23c0.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079433633&Signature=29qLDrwN%2B2p%2BG6%2FTTLpQJrqBNJE%3D,氷,,,,,,,,,氷属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/26/43ffb631de4.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079516897&Signature=qMg0wrxO2am0bi77Bekjkxcdgwg%3D,雷,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/26/daf2e3f6a16.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079516939&Signature=eJVDeHk8xLFpRz5td%2FENXL78AjI%3D,麻痺,,,雷麻痺,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/25/31fef020b34.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079435039&Signature=qGZq%2Fnjj%2Bu%2FPP7XpUFqTswZaFRk%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/7ba9dc62acc.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079867317&Signature=3DsAbK0Fv8VjtiE8v68YzwDcQVc%3D,,,,FALSE,FALSE,FALSE,2025/12/11,モンスターハンタークロス,"2025/12/11,2025/12/22,2025/12/29,,2026/01/05,2026/01/12",要撃用意！次元臨界の咆哮,"森林,沼地","片手剣,双剣,大剣,太刀,ハンマー,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ライトボウガン,ヘビィボウガン,弓",2025/11/25 21:20:59,2025/12/16 17:13:37
5hP3nS7r,ティガレックス亜種,BruteTigrex,58,飛竜種,黒轟竜（こくごうりゅう）,亜種,,大,なし,,,頭破壊でダメージ咆哮を弱体化できる?,尻尾,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/09/28/ed4d34d338b.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2074431542&Signature=XmF9%2FJFssCxq3sQ9nSHWfHkO9gw%3D,水,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/09/28/34d338b5aa8.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2074431551&Signature=IektHC9mFKL5WC%2FKh7A59gbEIgc%3D,龍,,,,,,,水属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/10/17/f27b1b06d0b.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2076050051&Signature=i10xGR50pa0dnZD5hHn9XILG%2BTs%3D,無属性,,,,,無,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/797b59166b0.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079867155&Signature=3b06pTWFA%2BlRb3YM33IQusKdWfE%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/04/aab49a01ec3.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2077592156&Signature=wM9qYabFvNnHaKrVUlXD4njvsbQ%3D,,黒,,FALSE,FALSE,FALSE,2025/10/27,モンスターハンターポータブル2ndG,"2025/10/27,2025/11/03,2025/12/1,2025/12/5,,2026/01/05,2026/01/19",要撃用意！次元臨界の咆哮,"森林,砂漠","片手剣,双剣,大剣,太刀,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ライトボウガン,ヘビィボウガン,弓",2025/09/28 23:58:00,2025/12/16 17:12:51
W2tG8qMf,メル・ゼナ,Malzeno,57,古龍種,爵銀龍（しゃくぎんりゅう）,古龍種,,大,小,,,,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/08/30/bb3154ccda9.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2071842149&Signature=XZY50g2cX%2FwvMN1vsWtbU6nudzA%3D,龍,,,,,,,,,龍属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/13/b62c9cd17b1.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2078350458&Signature=2AVUqnrWY4wNZmXB%2FQTje409oMY%3D,龍,,,,,龍,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/08/d827900cfb8.jpg?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2077951480&Signature=CnVg%2B%2BKUkiVyerKN6HrAn%2F%2Fnz%2F0%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/21/ab1c3ba3afa.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079043050&Signature=cRxJ7c%2BtcQ9Ypp3bV7mSN8B7IEg%3D,,,,FALSE,FALSE,FALSE,2025/11/20,モンスターハンターライズ：サンブレイク,"2025/11/20,2025/11/22,2025/11/24,2025/12/1,2025/12/5",,古龍迎撃戦,"片手剣,双剣,大剣,太刀,ハンマー,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ヘビィボウガン,弓",2025/08/30 0:26:53,2025/12/08 16:35:04
9kZ1vX4y,ガランゴルム,Garangolm,56,牙獣種,剛纏獣（ごうてんじゅう）,通常種,,大,なし,,,植物や周囲の土砂を体液で固め、体に纏うことでその部位での攻撃を強化,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/08/29/91c224e1878.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2071839586&Signature=GRb2faC6b4AXBlNajRNyoB2R3kk%3D,雷,,,,,,,,,雷属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/10/17/06d0b7b86d0.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2076050057&Signature=IccG5LWUCJG5T9411ztVOU%2FqgnM%3D,無属性,,,,,無,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/cb918d75d2b.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079866935&Signature=bKbZzo1ymh9NboyEqvtJsRfa11E%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/09/18/1cc669afbd8.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2073560598&Signature=L%2BgVC9i0xhR9PMb6IKRTW6TsvCI%3D,,白,,FALSE,FALSE,FALSE,2025/09/18,モンスターハンターライズ：サンブレイク,"2025/09/18,2025/09/19,,2025/12/5,,2026/01/12",集い築け！空飛ぶ探索拠点！,"森林,沼地","片手剣,双剣,大剣,太刀,ハンマー,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ライトボウガン,ヘビィボウガン,弓",2025/08/29 23:59:52,2025/12/05 10:14:23
bM6tH2rN,ルナガロン,Lunagaron,55,牙竜種,氷狼竜（ひょうろうりゅう）,通常種,,大,なし,,,,頭,,,,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/08/29/7b7914749a2.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2071839525&Signature=HKVGbIBWBynglnzepHJczmO0XIk%3D,火,,,,,,,,,火属性,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/09/05/c0cf5aa8d48.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2072437132&Signature=gMS6LgtC%2BXnzFVkNfJphH%2B5Zg74%3D,氷,,,,,氷,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/11/30/531249ca11a.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2079866723&Signature=%2FoeM1HH7yZTGEmv7bAimZuluMPs%3D,https://s3.ap-northeast-1.amazonaws.com/staging.click-platform.dbfile/user34252/2025/09/18/b461cc669af.png?AWSAccessKeyId=AKIA3JCH5IRY54KVZTMW&Expires=2073560590&Signature=iolPUbnzJ%2BW4yZ%2FU373EFOmtwl0%3D,,水色,,FALSE,FALSE,FALSE,2025/09/18,モンスターハンターライズ：サンブレイク,"2025/09/18,2025/09/19,,2025/10/20,2025/12/1,2025/12/5,,2026/01/19",集い築け！空飛ぶ探索拠点！要撃用意！次元臨界の咆哮,"森林,沼地,雪原","片手剣,双剣,大剣,太刀,ハンマー,狩猟笛,ランス,ガンランス,スラッシュアックス,チャージアックス,操虫棍,ライトボウガン,ヘビィボウガン,弓",2025/08/29 23:58:18,2025/12/16 17:13:24
