WeaponID,No.,Name,カテゴリー,属性,攻撃力,攻撃力10-5,属性値,属性値10-5,会心率,装備スキル①,装備スキル①Lv,画像,装備スキル②,装備スキル②Lv,モンスター,画像ファイルネーム,s3Url,補足,CreatedAt,UpdatedAt
iGB10fhE,10001,スティールナイフ5,片手剣,無属性,1596,1912,0,0,0,毒耐性,2,,,,なし,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%8A%E3%82%A4%E3%83%95.png,,2024/07/04 11:50:51,2024/12/06 23:13:26
afNx7jhJ,10002,ジャグラスガロテ5,片手剣,水属性,1373,1644,607,754,0,体力増強,2,,,,ドスジャグラス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%B8%E3%83%A3%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%AC%E3%83%AD%E3%83%86.png,,2024/07/03 15:44:22,2024/10/22 11:11:49
hEFfHhWf,10003,ダチュラブロッサム5,片手剣,毒,1596,1912,400,417,0,闇討ち,1,,,,プケプケ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%80%E3%83%81%E3%83%A5%E3%83%A9%E3%83%96%E3%83%AD%E3%83%83%E3%82%B5%E3%83%A0.png,,2024/07/04 11:46:22,2024/10/22 11:16:07
hlfczGgW,10004,ラグーナブロッサム6,片手剣,水属性,1221,1463,1142,1420,0,耳栓,1,,,,プケプケ亜種,ラグーナブロッサム.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%A9%E3%82%B0%E3%83%BC%E3%83%8A%E3%83%96%E3%83%AD%E3%83%83%E3%82%B5%E3%83%A0.png,,2024/07/03 16:52:32,2024/10/22 11:16:23
CwrqEzTw,10005,ボルボクラブ5,片手剣,無属性,1756,2103,0,0,0,防御,2,,,,ボルボロス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%9C%E3%83%AB%E3%83%9C%E3%82%AF%E3%83%A9%E3%83%96.png,,2024/07/07 0:07:35,2024/10/22 11:22:26
d82z5XdI,10006,マラドタバール5,片手剣,麻痺,1596,1912,400,417,0,闇討ち,1,,,,ドスギルオス,ギルオスナイフ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%9E%E3%83%A9%E3%83%89%E3%82%BF%E3%83%90%E3%83%BC%E3%83%AB.png,,2024/07/04 11:45:27,2024/10/22 11:24:41
oTQjvy8m,10007,ライトニングバトラー5,片手剣,雷属性,1293,1549,910,1131,0,回避距離UP,1,,,,トビカガチ,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%A9%E3%82%A4%E3%83%88%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%90%E3%83%88%E3%83%A9%E3%83%BC5.png,,2024/07/03 17:13:19,2024/10/22 15:20:33
rFfmtVdD,10008,ウルムータバール5,片手剣,無属性,1764,2113,0,0,0,精霊の加護,2,,,,パオウルムー,ウルムーナイフ.png,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%82%A6%E3%83%AB%E3%83%A0%E3%83%BC%E3%82%BF%E3%83%90%E3%83%BC%E3%83%AB.png,,2024/07/07 0:08:39,2024/10/22 15:20:57
HXg9LvYc,10009,ニュクスタバール6,片手剣,睡眠,1756,2103,300,312,0,闇討ち,1,,,,パオウルムー亜種,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%8B%E3%83%A5%E3%82%AF%E3%82%B9%E3%82%BF%E3%83%90%E3%83%BC%E3%83%AB.png,,2024/10/09 10:10:15,2024/10/22 15:21:59
X8uxghfg,10010,フラッドウェイブ5,片手剣,水属性,1293,1549,910,1131,0,背水防御,1,,,,ジュラトドス,,https://monchan-db.s3.ap-northeast-1.amazonaws.com/100xx/%E3%83%95%E3%83%A9%E3%83%83%E3%83%89%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%96.png,,2024/07/03 17:09:23,2024/10/22 15:24:55
